1564383,9113	169369,258385,366187,9113
547485	554492
179094,43268,856413	1310422,79130
1408653	822366
372260,549366	388617,66227
531603	1718901,734165
662185,823480	662185,823480
1429823,554745,895797	155634,155635,856320,856321
1039814,477320	1102951
531584,550130,550132,550133,550134,550136,550137,550138,550142,550143,614428	536946
446860,565306	856453,856454,856455
1624057,232437,5005	221735,263001,29610,325086,49452,5005,51633,554407,585933,614709,637235,79130,9150,96621
253652,531808	1624167,1624168,497965
555209,555272	554757,9435
218993,99212	1580424,16026
507167,547132	131078,4701,4790
314837,600335	536946
1995597,550455	1157532,554729
438095	100159,1969174,614384
554438,66227	30311,532026,558692
2176730	341651
100158,567355	572866,614507,614578,74453
1194938,1288016,1343396,1462333,1624071,1792441,1792442,1792443,269869,293155,464299,477064,933402	565323
2176033	16026,895852
485940	4498,549366,565555
2217021	614498
572481,59767	104500,1077552,2247
169369,179829,1993017	37097,806761
210098,216846,258378,328280,4498,4524,547266,550129,550131,554407,554880,555217,555303,9248,9264,9430	50381
1669,662807	1053454,4765
1226749,1269414,285775,555460,565232	1969072,572359,583339
4498,549366,565555	555205,557055
572866,614506,614507	100159,572866,614693
531821	293211,551113
558909,614703	1719422,614376,9248
296237,614376,614738,614739	1461161,1997470
1719477,1719478	1679,550456
1431410,942919	285821,614619,614640
1623909,271822,555171	555002,614492
525352	1327569,350357
1345,614684,972007	1290385,1345,576927,972007
291323,499052,72870,760387	1345,554679,9218
1576634,681439	1118692,154907,1792450,550128,550131
554789,554790	33751,342989,469204,555213,968342
560775,761059,86726	410748,575557
160361,533751	446860,614527
113659,1268899,859363	1324508,173809,350357
210756	614324
555000	1473486,263732
2108944,406433	258400,258401,511018
499282,51672,550240,7924	11319,1327221,1327222,1327223,56289
326241,555433	100159,1969174,614384
160656	140755,477810
1590210,1853687,341651	292356,550034,932159
258394,525352,614461	1327471,1327472,9143
652748,9113	293211,8746,9053
353605	168048
1280245,227560,87517	395657,444770,460935
531505	555039
23455,24024,627915	1327486,894465,9361
614512	310586,555297,555300
856222,856223,98428	143578,328784,78240
1673170,605778	140134,314153,578609
550128,554444	1278631,1718900
814133	282895,554538
219758,292356,8744	1327153,1327154,182682
229707	555462
531828,98700	1719409,9322
284289,535658	555430
1327655,894791	390921,614449,614450,614451,614452,614453,614454,614455
614596,96932	1527644
531643,69044	1448634,171456,1719538,1719539,179073,554888,667374
536400,971748	119997,168047,683791
4524,550549	788206,908111
536946	1719158,614573,99185
