149,261649,437413	149,261649,437413,8924
235566,44249	400465,471672,471673
125297,397886,68412,794095	8873
150320	281715,281774,452998
120368,337162,44314,471671,569069,751390	120368,471671
32114,7766	682038
4850	210087,4814,676424,676425,676426
230820,261710,471140,4850	247611,705786
1175545,171660	667727,667728,8807
10826,291414,47489	122664,6801
34557	286667
1353349,309074,384515,488636,606466	140570,93500
1691022	206843,517774
1733648	485332,8855
471419,471563	451668,452961
1119368,1154296,242937	1119368,1154296,242937,429728
236828,465711	68429,705715,8945
517837	550491,62646
1068305,305157,452990,9289,989128	298086,705718,8945
465502,471100	105728,157729
471419	8873
1556442,471088,8876	471088,8876
772019	236223,359057
149697,471088	206808,434487,8813
315809	452855,503578
287101,29982,479670	465668,465670
148,261649,261749	148,164346,261649,261749
182426,410972	354840
1577,466247	206875,20745,465187
8873,9065,9300	355963
120324	1138036
467299,9065	286667,443391
386267,667311	155758,161377,164346
374973,465517,471471,81172	705719,81172
167644,8781	193246,421909
1452759,8906	42508,8855,9059
8488	1029065,8488
120368,1566039,1566040,890969	120368,471671
332305,525688	122686,305453
327037,474220	1064011,388486
8217,9233	210087,4814,676424,676425,676426
288884,471674	37514
198201,28914,465711	198201,28914,465711
67878	268969
206678,8426	467504,8426
167644,302208	1240018,471029,471431,471489,9070,989266
163740,40947	163740,40947
3791	1593,160884,2095
466070,467014	705792,8595
20747	386267,471524,705723
286097	517754,649147
182101,259624,279857,471065	278374,388880,455594,471217,78785
1102002,337162,44314,471671,569069	120368,471671
147198	137164,363022,394476
471142,9070	1064056,3443
245600,473585	471140,673280
191366,47462	166831,44407,47462
67881	736721,964787
1078138,335022,66129,998276	66129,998276
450775,471638	450775,471638
1556158	134343,378317
78442	105278
419337,419338,91268	338577,419378
65654	65654
245435,32368	62390
37514	18376,37514,466707,750093
1064300,1064301,8585	8585
1734544,1734545,1734546	705823
127,31332,536148	471419,506734
471100,569613	120368,471671
507436	507436,8855
236223,291414,8703	164346,256298
1240017	245435,471690
226056,467353	163740,452950,61549
473674	147833,290990,454516,47489
453016,466981	453016,466981
190879	1251700,190879,269082
517854,8873	205853,381941
279858,559269,736484	291414,47489,736484
517753	142039,517706,517707
1200002,408113	1200002
465296,471039	232156,4333
242937	50750,517664
66176	1186150,493143
471471,4850,50923	164346,471376
1439,65629,65632	20751,67901
1481990,1481991,168051,47484,47501	1101876,47618,48762
65629,65632	353774,66170
259961	305157,8509
1178743,484432	81172
507489	260095
341225	331957,59635,66122,71629
47275,557056,557113	30689
64710,65629	1541072,64710
1084489,456311	155239
157842,190821,745752	157842
45970	705797,71608
157538,28031,51335	155271,232167,453006
1064250,517618,62390	402558
134009,291414,8703	10826,291414,4615
147833,47489,8873	216368,47489
175559,78790	1020545,227146
150224,347333,416880,67968	8585
466795	147833,279946,470936
479510,534565	471616
232279	81169,8945
311992,66170	1556325,471555,66170,76527,970375
181719	147833,266303,470922
471708	4197,8765
1127117,16904,17151,32804	235603
466705	736009
205852	434319,9044
272376	451854,452990
1172767	340193
8595	705792,8595
206505	206505
185274,386267	261128
139536	1064382,47599
166747,792242	166747
175263,85974	1068240,381926
569167	232172,421964
163605	182221,20746
4306	1035061,66129
157636,388486	1064011,388486
230699,381982,384449,468681,736905,736906,736907,736908,736909,736910	1028062,1353612,468739
427281	305159,507276,8585
1166,8906	340472
452956	1284035,452956,471163,559202,714655
1323864,337162,44314,471671,569069	120368,471671
288884,471595,471674,517816	35072
471616	471715
157842	160194,206670
164040,164041	137380,536297
191323,484257,80636	261649,62242
258522	154637
471140	166589
305159	200719,305159,8813
165640,20753	20757,8378
479428	472977,59400,6446
1325179,345365,374973,70323,81172	1557590,261649,437442
286605	471384,517626
160080,378859	160080,378859
422189	467964,479338
162193,472807	359192,542834
232167,471185,8643	179665,242257,81169,9062
103336,437405	437405
4951	9300
456360,794305	471419,506734
115512	8595
764604,90672	486642,988718
1064227,386375,388486,393953,705816	291082,386375,388486,393953
164346	466825,793813
471003,517775	23973,8712
1019619,562056,573025	1556396,198993,325403,357429
471244	374955,473617
359225,479385	120368,337162,44314,471671,569069,751390
147833,4307,517617	1064365,339343,4613
465517,471471,517819,81172	9075
279889	1413317,279889,8870
140639,140702	282333
468221	469018,517640
356313,422276,452982,467579,467581,467583,467584,467586,467587,467588,467592	467586,467590,471717
1044003,370084	8945,968996
381962,468681	232162,3443
473821	397162,506734
154637,466307	154637
470925,471471	242257,705673,8945
20886,20892,380213,471223	120368,443391
1676,174822,22443	1676,23048
471118,471119	175140,283823
232171,388880,4324,471217,471418	232171,388880,4324,471217,471418,9065
340968	465160
4324,9109	103336,4324,9109
1028062,240738,468739	4613
331022	153549
371121	191431
351007,548311	187606,26524
1240033,4358,792736,9065	155758,8385,8781
24968,470972,470973	1217695,452990
216369,434361,437405,437462,453014	1622,437405,471364,471595,471655,9109
1060156,1078701,468422,484378	143784,176700
