0,1	2,3,4
0,5,1	6,2,7,4
8,9	10,11,12
12	13,14
15,5	16,7
16,3	6,15
15,7	16,17
18,15	6,16
16	19,20
19	20
6,19,21	10,22,23
6,19,9	10,23,11
24,5	23,7
25	24
25	26,3
27,5,3	6,26,17
27,5	26,7
6,27,5	26,18,17
27,28	26,28
27,21,1	10,13,22,2
29,2	27,1
30,31,13,2	27,31,1
27,1,28	13,2,28
9,32	10,13,33,11
21,32	10,13,22,33
34,3	32
35,9	10,34,11
35,21	10,22,34
36	27,19
37	15
37	35
32	36,3
38	37
39	40
41,5	39,7
42	41
43,5	40,7
44	43
45,5	33,7
46,3	47,38
48,38	18,46
49,46	50,38
51,46,3	52,30,53
3,28	54,28
54	55
56,21	10,22,55
56	57,3
58	57,3
58,21	10,22,59
60	59
28	61,28
62,5	49,7
49,48	18,50
5,38	18,63
63,3	17,38
63,28	7,28
28	28
28	64,28
46	50
44,28	3,28
65,66	67,68
69	68
69,2	70,1
70,48	18,71
71	72
26,71	6,73
74,21	10,73,22
74,9	10,73,11
75,5	76,7
77,5	15,7
77,5	78,7
77,28	78,28
78	20,79
80,5	7,81
80,28	81,28
81	15
81	82
82,83	6,84
82,85	18,84
84	86,3
87,9	10,86,11
88,3	6,89
5,89	88,7
90,1	2,91,3
8	92,91
93,21	10,22,94
93,9	10,11,94
95,3	6,96
9,96	10,11,91
96,97	91,98
21,96	10,22,91
5,4	26,13,7
6,4	26,13,3
18,4	6,26,13
85,4	26,13,83
99,4	26,13,100
101,31	27,30,31
101,21	10,27,22
101,4	27,90
102,5	103,7
18,102	6,103
104	105,3
9,106	10,11,105
106,28	105,28
21,106	10,22,105
107	108
109,5,1	18,110,17
110,102	109,2
111,21,3	10,92,22
111,9,3	10,92,11
112,14	111,67
27,112	111,113
67	112,13
114,21	10,22,14,66
114,9	10,14,11,66
67,21,3	10,115,22,14
67,9,3	10,115,14,11
115,67,5	6,66,7
66,3	115,67
116,3,97	115,98,4
116	115,117
115,5,116	18,17,118
118,3	115,116
5,116,66,3	18,67,17,118
119	27,115
24,21	10,120,22
14,121	120,67
121,3	6,119
5,116	122,7
6,123,9	10,122,11
124,21	10,22,123
124,9	10,123,11
124,5	125,7
125,3	6,126
126	127,128
129,128,3	130,119
130,28	115,129,28
128,28	13,28
131	127,128
132,133	102,134
135,133	92,134
124,108	135,1
135,3	92,115,136
137,135	92,138
139,138	140,141
142,138	130,141
143,138	141,144
145,138	146,141
141,3,97	115,147,98
67,147	14,141
139,28	140,28
139	140
6,18,139	5,141,3
140,3	148,149
10,139	13,150
